event;init;end;btc_unit;palindrome;valid
block78;390000000000;394999999999;3900;390000000093;True
block78;390000000000;394999999999;3900;390001100093;True
block78;390000000000;394999999999;3900;390002200093;True
block78;390000000000;394999999999;3900;390003300093;True
block78;390000000000;394999999999;3900;390004400093;True
block78;390000000000;394999999999;3900;390005500093;True
block78;390000000000;394999999999;3900;390006600093;True
block78;390000000000;394999999999;3900;390007700093;True
block78;390000000000;394999999999;3900;390008800093;True
block78;390000000000;394999999999;3900;390009900093;True
block78;390000000000;394999999999;3900;390010010093;True
block78;390000000000;394999999999;3900;390011110093;True
block78;390000000000;394999999999;3900;390012210093;True
block78;390000000000;394999999999;3900;390013310093;True
block78;390000000000;394999999999;3900;390014410093;True
block78;390000000000;394999999999;3900;390015510093;True
block78;390000000000;394999999999;3900;390016610093;True
block78;390000000000;394999999999;3900;390017710093;True
block78;390000000000;394999999999;3900;390018810093;True
block78;390000000000;394999999999;3900;390019910093;True
block78;390000000000;394999999999;3900;390020020093;True
block78;390000000000;394999999999;3900;390021120093;True
block78;390000000000;394999999999;3900;390022220093;True
block78;390000000000;394999999999;3900;390023320093;True
block78;390000000000;394999999999;3900;390024420093;True
block78;390000000000;394999999999;3900;390025520093;True
block78;390000000000;394999999999;3900;390026620093;True
block78;390000000000;394999999999;3900;390027720093;True
block78;390000000000;394999999999;3900;390028820093;True
block78;390000000000;394999999999;3900;390029920093;True
block78;390000000000;394999999999;3900;390030030093;True
block78;390000000000;394999999999;3900;390031130093;True
block78;390000000000;394999999999;3900;390032230093;True
block78;390000000000;394999999999;3900;390033330093;True
block78;390000000000;394999999999;3900;390034430093;True
block78;390000000000;394999999999;3900;390035530093;True
block78;390000000000;394999999999;3900;390036630093;True
block78;390000000000;394999999999;3900;390037730093;True
block78;390000000000;394999999999;3900;390038830093;True
block78;390000000000;394999999999;3900;390039930093;True
block78;390000000000;394999999999;3900;390040040093;True
block78;390000000000;394999999999;3900;390041140093;True
block78;390000000000;394999999999;3900;390042240093;True
block78;390000000000;394999999999;3900;390043340093;True
block78;390000000000;394999999999;3900;390044440093;True
block78;390000000000;394999999999;3900;390045540093;True
block78;390000000000;394999999999;3900;390046640093;True
block78;390000000000;394999999999;3900;390047740093;True
block78;390000000000;394999999999;3900;390048840093;True
block78;390000000000;394999999999;3900;390049940093;True
block78;390000000000;394999999999;3900;390050050093;True
block78;390000000000;394999999999;3900;390051150093;True
block78;390000000000;394999999999;3900;390052250093;True
block78;390000000000;394999999999;3900;390053350093;True
block78;390000000000;394999999999;3900;390054450093;True
block78;390000000000;394999999999;3900;390055550093;True
block78;390000000000;394999999999;3900;390056650093;True
block78;390000000000;394999999999;3900;390057750093;True
block78;390000000000;394999999999;3900;390058850093;True
block78;390000000000;394999999999;3900;390059950093;True
block78;390000000000;394999999999;3900;390060060093;True
block78;390000000000;394999999999;3900;390061160093;True
block78;390000000000;394999999999;3900;390062260093;True
block78;390000000000;394999999999;3900;390063360093;True
block78;390000000000;394999999999;3900;390064460093;True
block78;390000000000;394999999999;3900;390065560093;True
block78;390000000000;394999999999;3900;390066660093;True
block78;390000000000;394999999999;3900;390067760093;True
block78;390000000000;394999999999;3900;390068860093;True
block78;390000000000;394999999999;3900;390069960093;True
block78;390000000000;394999999999;3900;390070070093;True
block78;390000000000;394999999999;3900;390071170093;True
block78;390000000000;394999999999;3900;390072270093;True
block78;390000000000;394999999999;3900;390073370093;True
block78;390000000000;394999999999;3900;390074470093;True
block78;390000000000;394999999999;3900;390075570093;True
block78;390000000000;394999999999;3900;390076670093;True
block78;390000000000;394999999999;3900;390077770093;True
block78;390000000000;394999999999;3900;390078870093;True
block78;390000000000;394999999999;3900;390079970093;True
block78;390000000000;394999999999;3900;390080080093;True
block78;390000000000;394999999999;3900;390081180093;True
block78;390000000000;394999999999;3900;390082280093;True
block78;390000000000;394999999999;3900;390083380093;True
block78;390000000000;394999999999;3900;390084480093;True
block78;390000000000;394999999999;3900;390085580093;True
block78;390000000000;394999999999;3900;390086680093;True
block78;390000000000;394999999999;3900;390087780093;True
block78;390000000000;394999999999;3900;390088880093;True
block78;390000000000;394999999999;3900;390089980093;True
block78;390000000000;394999999999;3900;390090090093;True
block78;390000000000;394999999999;3900;390091190093;True
block78;390000000000;394999999999;3900;390092290093;True
block78;390000000000;394999999999;3900;390093390093;True
block78;390000000000;394999999999;3900;390094490093;True
block78;390000000000;394999999999;3900;390095590093;True
block78;390000000000;394999999999;3900;390096690093;True
block78;390000000000;394999999999;3900;390097790093;True
block78;390000000000;394999999999;3900;390098890093;True
block78;390000000000;394999999999;3900;390099990093;True
block78;390000000000;394999999999;3901;390100001093;True
block78;390000000000;394999999999;3901;390101101093;True
block78;390000000000;394999999999;3901;390102201093;True
block78;390000000000;394999999999;3901;390103301093;True
block78;390000000000;394999999999;3901;390104401093;True
block78;390000000000;394999999999;3901;390105501093;True
block78;390000000000;394999999999;3901;390106601093;True
block78;390000000000;394999999999;3901;390107701093;True
block78;390000000000;394999999999;3901;390108801093;True
block78;390000000000;394999999999;3901;390109901093;True
block78;390000000000;394999999999;3901;390110011093;True
block78;390000000000;394999999999;3901;390111111093;True
block78;390000000000;394999999999;3901;390112211093;True
block78;390000000000;394999999999;3901;390113311093;True
block78;390000000000;394999999999;3901;390114411093;True
block78;390000000000;394999999999;3901;390115511093;True
block78;390000000000;394999999999;3901;390116611093;True
block78;390000000000;394999999999;3901;390117711093;True
block78;390000000000;394999999999;3901;390118811093;True
block78;390000000000;394999999999;3901;390119911093;True
block78;390000000000;394999999999;3901;390120021093;True
block78;390000000000;394999999999;3901;390121121093;True
block78;390000000000;394999999999;3901;390122221093;True
block78;390000000000;394999999999;3901;390123321093;True
block78;390000000000;394999999999;3901;390124421093;True
block78;390000000000;394999999999;3901;390125521093;True
block78;390000000000;394999999999;3901;390126621093;True
block78;390000000000;394999999999;3901;390127721093;True
block78;390000000000;394999999999;3901;390128821093;True
block78;390000000000;394999999999;3901;390129921093;True
block78;390000000000;394999999999;3901;390130031093;True
block78;390000000000;394999999999;3901;390131131093;True
block78;390000000000;394999999999;3901;390132231093;True
block78;390000000000;394999999999;3901;390133331093;True
block78;390000000000;394999999999;3901;390134431093;True
block78;390000000000;394999999999;3901;390135531093;True
block78;390000000000;394999999999;3901;390136631093;True
block78;390000000000;394999999999;3901;390137731093;True
block78;390000000000;394999999999;3901;390138831093;True
block78;390000000000;394999999999;3901;390139931093;True
block78;390000000000;394999999999;3901;390140041093;True
block78;390000000000;394999999999;3901;390141141093;True
block78;390000000000;394999999999;3901;390142241093;True
block78;390000000000;394999999999;3901;390143341093;True
block78;390000000000;394999999999;3901;390144441093;True
block78;390000000000;394999999999;3901;390145541093;True
block78;390000000000;394999999999;3901;390146641093;True
block78;390000000000;394999999999;3901;390147741093;True
block78;390000000000;394999999999;3901;390148841093;True
block78;390000000000;394999999999;3901;390149941093;True
block78;390000000000;394999999999;3901;390150051093;True
block78;390000000000;394999999999;3901;390151151093;True
block78;390000000000;394999999999;3901;390152251093;True
block78;390000000000;394999999999;3901;390153351093;True
block78;390000000000;394999999999;3901;390154451093;True
block78;390000000000;394999999999;3901;390155551093;True
block78;390000000000;394999999999;3901;390156651093;True
block78;390000000000;394999999999;3901;390157751093;True
block78;390000000000;394999999999;3901;390158851093;True
block78;390000000000;394999999999;3901;390159951093;True
block78;390000000000;394999999999;3901;390160061093;True
block78;390000000000;394999999999;3901;390161161093;True
block78;390000000000;394999999999;3901;390162261093;True
block78;390000000000;394999999999;3901;390163361093;True
block78;390000000000;394999999999;3901;390164461093;True
block78;390000000000;394999999999;3901;390165561093;True
block78;390000000000;394999999999;3901;390166661093;True
block78;390000000000;394999999999;3901;390167761093;True
block78;390000000000;394999999999;3901;390168861093;True
block78;390000000000;394999999999;3901;390169961093;True
block78;390000000000;394999999999;3901;390170071093;True
block78;390000000000;394999999999;3901;390171171093;True
block78;390000000000;394999999999;3901;390172271093;True
block78;390000000000;394999999999;3901;390173371093;True
block78;390000000000;394999999999;3901;390174471093;True
block78;390000000000;394999999999;3901;390175571093;True
block78;390000000000;394999999999;3901;390176671093;True
block78;390000000000;394999999999;3901;390177771093;True
block78;390000000000;394999999999;3901;390178871093;True
block78;390000000000;394999999999;3901;390179971093;True
block78;390000000000;394999999999;3901;390180081093;True
block78;390000000000;394999999999;3901;390181181093;True
block78;390000000000;394999999999;3901;390182281093;True
block78;390000000000;394999999999;3901;390183381093;True
block78;390000000000;394999999999;3901;390184481093;True
block78;390000000000;394999999999;3901;390185581093;True
block78;390000000000;394999999999;3901;390186681093;True
block78;390000000000;394999999999;3901;390187781093;True
block78;390000000000;394999999999;3901;390188881093;True
block78;390000000000;394999999999;3901;390189981093;True
block78;390000000000;394999999999;3901;390190091093;True
block78;390000000000;394999999999;3901;390191191093;True
block78;390000000000;394999999999;3901;390192291093;True
block78;390000000000;394999999999;3901;390193391093;True
block78;390000000000;394999999999;3901;390194491093;True
block78;390000000000;394999999999;3901;390195591093;True
block78;390000000000;394999999999;3901;390196691093;True
block78;390000000000;394999999999;3901;390197791093;True
block78;390000000000;394999999999;3901;390198891093;True
block78;390000000000;394999999999;3901;390199991093;True
block78;390000000000;394999999999;3902;390200002093;True
block78;390000000000;394999999999;3902;390201102093;True
block78;390000000000;394999999999;3902;390202202093;True
block78;390000000000;394999999999;3902;390203302093;True
block78;390000000000;394999999999;3902;390204402093;True
block78;390000000000;394999999999;3902;390205502093;True
block78;390000000000;394999999999;3902;390206602093;True
block78;390000000000;394999999999;3902;390207702093;True
block78;390000000000;394999999999;3902;390208802093;True
block78;390000000000;394999999999;3902;390209902093;True
block78;390000000000;394999999999;3902;390210012093;True
block78;390000000000;394999999999;3902;390211112093;True
block78;390000000000;394999999999;3902;390212212093;True
block78;390000000000;394999999999;3902;390213312093;True
block78;390000000000;394999999999;3902;390214412093;True
block78;390000000000;394999999999;3902;390215512093;True
block78;390000000000;394999999999;3902;390216612093;True
block78;390000000000;394999999999;3902;390217712093;True
block78;390000000000;394999999999;3902;390218812093;True
block78;390000000000;394999999999;3902;390219912093;True
block78;390000000000;394999999999;3902;390220022093;True
