;mid
639;63936
640;64046
641;64146
642;64246
643;64346
644;64446
645;64546
646;64646
647;64746
648;64846
649;64946
650;65056
651;65156
652;65256
653;65356
654;65456
655;65556
656;65656
657;65756
658;65856
659;65956
660;66066
661;66166
662;66266
663;66366
664;66466
665;66566
666;66666
667;66766
668;66866
669;66966
670;67076
671;67176
672;67276
673;67376
674;67476
675;67576
676;67676
677;67776
678;67876
679;67976
680;68086
681;68186
682;68286
683;68386
684;68486
685;68586
686;68686
687;68786
688;68886
689;68986
690;69096
691;69196
692;69296
693;69396
694;69496
695;69596
696;69696
697;69796
698;69896
699;69996
700;70007
701;70107
702;70207
703;70307
704;70407
705;70507
706;70607
707;70707
708;70807
709;70907
710;71017
711;71117
712;71217
713;71317
714;71417
715;71517
716;71617
717;71717
718;71817
719;71917
720;72027
721;72127
722;72227
723;72327
724;72427
725;72527
726;72627
727;72727
728;72827
729;72927
730;73037
731;73137
732;73237
733;73337
734;73437
735;73537
736;73637
737;73737
738;73837
739;73937
740;74047
741;74147
742;74247
743;74347
744;74447
745;74547
746;74647
747;74747
748;74847
749;74947
750;75057
751;75157
752;75257
753;75357
754;75457
755;75557
756;75657
757;75757
758;75857
759;75957
760;76067
761;76167
762;76267
763;76367
764;76467
765;76567
766;76667
767;76767
768;76867
769;76967
770;77077
771;77177
772;77277
773;77377
774;77477
775;77577
776;77677
777;77777
778;77877
779;77977
780;78087
781;78187
782;78287
783;78387
784;78487
785;78587
786;78687
787;78787
788;78887
789;78987
790;79097
791;79197
792;79297
793;79397
794;79497
795;79597
796;79697
797;79797
798;79897
799;79997
800;80008
801;80108
802;80208
803;80308
804;80408
805;80508
806;80608
807;80708
808;80808
809;80908
810;81018
811;81118
812;81218
813;81318
814;81418
815;81518
816;81618
817;81718
818;81818
819;81918
820;82028
821;82128
822;82228
823;82328
824;82428
825;82528
826;82628
827;82728
828;82828
829;82928
830;83038
831;83138
832;83238
833;83338
834;83438
835;83538
836;83638
837;83738
838;83838
839;83938
840;84048
841;84148
842;84248
843;84348
844;84448
845;84548
846;84648
847;84748
848;84848
849;84948
850;85058
851;85158
852;85258
853;85358
854;85458
855;85558
856;85658
857;85758
858;85858
859;85958
860;86068
861;86168
862;86268
863;86368
864;86468
865;86568
866;86668
867;86768
868;86868
869;86968
870;87078
871;87178
872;87278
873;87378
874;87478
875;87578
876;87678
877;87778
878;87878
879;87978
880;88088
881;88188
882;88288
883;88388
884;88488
885;88588
886;88688
887;88788
888;88888
889;88988
890;89098
891;89198
892;89298
893;89398
894;89498
895;89598
896;89698
897;89798
898;89898
899;89998
900;90009
901;90109
902;90209
903;90309
904;90409
905;90509
906;90609
907;90709
908;90809
909;90909
910;91019
911;91119
912;91219
913;91319
914;91419
915;91519
916;91619
917;91719
918;91819
919;91919
920;92029
921;92129
922;92229
923;92329
924;92429
925;92529
926;92629
927;92729
928;92829
929;92929
930;93039
931;93139
932;93239
933;93339
934;93439
935;93539
936;93639
937;93739
938;93839
939;93939
940;94049
941;94149
942;94249
943;94349
944;94449
945;94549
946;94649
947;94749
948;94849
949;94949
950;95059
951;95159
952;95259
953;95359
954;95459
955;95559
956;95659
957;95759
958;95859
959;95959
960;96069
961;96169
962;96269
963;96369
964;96469
965;96569
966;96669
967;96769
968;96869
969;96969
970;97079
971;97179
972;97279
973;97379
974;97479
975;97579
976;97679
977;97779
978;97879
979;97979
980;98089
981;98189
982;98289
983;98389
984;98489
985;98589
986;98689
987;98789
988;98889
989;98989
990;99099
991;99199
992;99299
993;99399
994;99499
995;99599
996;99699
997;99799
998;99899
999;99999
