;mid
0;0000
1;0110
2;0220
3;0330
4;0440
5;0550
6;0660
7;0770
8;0880
9;0990
10;1001
11;1111
12;1221
13;1331
14;1441
15;1551
16;1661
17;1771
18;1881
19;1991
20;2002
21;2112
22;2222
23;2332
24;2442
25;2552
26;2662
27;2772
28;2882
29;2992
30;3003
31;3113
32;3223
33;3333
34;3443
35;3553
36;3663
37;3773
38;3883
39;3993
40;4004
41;4114
42;4224
43;4334
44;4444
45;4554
46;4664
47;4774
48;4884
49;4994
50;5005
51;5115
52;5225
53;5335
54;5445
55;5555
56;5665
57;5775
58;5885
59;5995
60;6006
61;6116
62;6226
63;6336
64;6446
65;6556
66;6666
67;6776
68;6886
69;6996
70;7007
71;7117
72;7227
73;7337
74;7447
75;7557
76;7667
77;7777
78;7887
79;7997
80;8008
81;8118
82;8228
83;8338
84;8448
85;8558
86;8668
87;8778
88;8888
89;8998
90;9009
91;9119
92;9229
93;9339
94;9449
95;9559
96;9669
97;9779
98;9889
99;9999
